10	10
10	11
10	12
10	13
10	15
10	16
10	18
10	19
10	20
10	21
10	4
10	5
10	6
10	7
10	8
10	9
11	10
11	11
11	12
11	13
11	14
11	15
11	16
11	17
11	18
11	19
11	20
11	21
11	4
11	5
11	6
11	7
11	8
11	9
12	10
12	11
12	12
12	13
12	14
12	15
12	16
12	17
12	18
12	19
12	2
12	20
12	21
12	3
12	4
12	5
12	6
12	7
12	8
12	9
13	10
13	11
13	12
13	13
13	14
13	15
13	16
13	17
13	18
13	19
13	2
13	20
13	3
13	4
13	5
13	6
13	7
13	8
13	9
14	10
14	11
14	12
14	13
14	14
14	15
14	16
14	17
14	18
14	19
14	2
14	20
14	21
14	3
14	4
14	5
14	6
14	7
14	8
14	9
15	10
15	11
15	12
15	13
15	14
15	15
15	16
15	17
15	18
15	19
15	20
15	21
15	4
15	5
15	6
15	7
15	8
15	9
16	10
16	11
16	12
16	13
16	14
16	15
16	17
16	20
16	3
16	4
16	5
16	6
16	7
16	8
16	9
17	10
17	11
17	12
17	13
17	17
17	18
17	20
17	21
17	5
17	6
17	7
17	8
17	9
18	17
18	20
18	21
18	22
19	11
19	12
19	13
19	14
19	15
19	17
19	20
19	21
19	22
20	10
20	11
20	12
20	13
20	15
20	16
20	17
20	20
20	21
20	22
21	12
21	13
21	14
21	17
21	20
21	21
21	22
22	13
22	14
22	18
22	19
22	20
7	10
7	11
7	12
7	13
7	18
7	19
8	10
8	11
8	12
8	13
8	14
8	15
8	17
8	18
8	19
8	20
8	7
8	8
8	9
9	10
9	11
9	12
9	13
9	14
9	15
9	16
9	17
9	18
9	19
9	20
9	21
9	5
9	6
9	7
9	8
9	9
